DATE,QTY,PRODUCT NAME,PRICE PER UNIT,TOTAL,PAYMENT METHOD,,,,
8/3/2025,1,AT FULLY 80,250,250,,,,,
8/3/2025,1,BULB,20,20,,,,,
8/3/2025,1,BOLT,206,206,,,,,
8/3/2025,1,BRAKE FLUID,70,70,,,,,
8/3/2025,1,HIRC CLUTCH SPRING,175,175,,,,,
8/3/2025,1,HIRC CENTER SPRING ,310,310,,,,,
8/3/2025,2,BEARING,80,160,,,,,
8/3/2025,1,CLUTCH CABLE ,140,140,,,,,
8/3/2025,1,SPROCKET SET (YAMAHA ORIG),"1,250","1,250",,,,,
8/3/2025,1,SAE 4OIL,200,200,,,,,
8/3/2025,1,BRAKE PAD,120,120,,,,,
8/3/2025,1,BRAKE PAD,120,120,,,,,
8/3/2025,1,SPARK PLUG NGK,180,180,,,,,
8/3/2025,1,FUSE BOX,60,60,,,,,
8/3/2025,1,FULLY 1L,270,270,,,,,
8/3/2025,1,CASTROL 800ML,315,315,,,,,
8/3/2025,1,SPRAY PAINT,150,150,,,,,
8/3/2025,1,CVT CLEANER,220,220,,,,,
8/3/2025,1,T. CABLE,140,140,,,,,
8/3/2025,1,FORK SLIDE ORIG (HONDA),380,380,,,,,
8/3/2025,1,CHAIN LOCK,25,25,,,,,
8/3/2025,2,WIRE 2M,40,80,,,,,
8/3/2025,1,RELAY,150,150,,,,,
8/3/2025,2,BEARING 6202,80,160,,,,,
8/3/2025,1,BEARING 6000,80,80,,,,,
8/3/2025,1,CARB KIT ,150,150,,,,,
8/3/2025,1,HANDLE SWITCH,70,70,,,,,
8/3/2025,1,CONNECTING ROD,"1,300","1,300",,,,,
8/3/2025,1,OVERHAULING GASKET,230,230,,,,,
8/3/2025,2,BEARING 6304 ORIG,250,500,,,,,
8/3/2025,1,EXHAUST GASKET,30,30,,,,,
8/3/2025,2,FUSE,10,20,,,,,
8/3/2025,1,REPAIR KIT,100,100,,,,,
8/3/2025,1,BRAKE SHOE,150,150,,,,,
8/3/2025,1,RUG,10,10,,,,,
8/3/2025,1,GREASE,10,10,,,,,
8/3/2025,1,HANDLE GRIP,220,220,,,,,
8/3/2025,1,CVT,220,220,,,,,
8/3/2025,1,STEP DRILL,250,250,,,,,
8/3/2025,1,GEAR OIL (FULLY),95,95,,,,,
8/3/2025,1,70/80-17 TUBELESS ,920,920,,,,,
8/3/2025,1,BOLT 6X30,10,10,,,,,
8/3/2025,1,BRAKE SHOE,200,200,,,,,
8/3/2025,1,RUBBER DUMPER,100,100,,,,,
8/3/2025,1,300-17 LEO TIRE,770,770,,,,,
8/3/2025,2,BOLT,10,20,,,,,
8/3/2025,1,BOLT,44,44,,,,,
8/3/2025,1,5A THAIWORKZ,520,520,,,,,
8/3/2025,1,SHELL 1L,360,360,,,,,
8/3/2025,1,OIL FILTER,50,50,,,,,
8/3/2025,1,OIL SEAL CT100,100,100,,,,,
8/3/2025,1,100/80-14 TUBELESS w/SEALANT,"1,200","1,200",,,,,
8/3/2025,1,OIL FILTER,40,40,,,,,
8/3/2025,1,88,150,150,,,,,
8/3/2025,1,CHAIN LOCK,25,25,,,,,
8/3/2025,2,WIRE 2M,40,80,,,,,
8/3/2025,1,ON/OFF SWITCH,50,50,,,,,
8/3/2025,1,PLATE XX. BOLT,10,10,,,,,
8/3/2025,1,HANDLE SWITCH (R),250,250,,,,,
8/3/2025,1,4L,450,450,,,,,
8/4/2025,1,SPROCKET SET,900,900,,,,,
8/4/2025,1,CARB XRM 125,800,800,,,,,
8/4/2025,2,SHELL SCOOTER (800ML),300,600,,,,,
8/4/2025,1,PULLEY DRIVE ORIGINAL,450,450,,,,,
8/4/2025,1,PULLEY BAL ORIGINAL,350,350,,,,,
8/4/2025,1,CDI XRM 125,300,300,,,,,
8/4/2025,1,DRIVE FACE,300,300,,,,,
8/4/2025,1,FULLY 800ML (Engine Oil),255,255,,,,,
8/4/2025,2,GASKET ALL (Set),100,200,,,,,
8/4/2025,2,SHELL GEAR OIL,85,170,,,,,
8/4/2025,2,ELECTRICAL TAPE,30,60,,,,,
8/4/2025,2,GREASE (Tube),25,50,,,,,
8/4/2025,2,ALLEN BOLT WITH WASHER,11,22,,,,,
8/4/2025,2,"WASHER (8mm, Heavy)",7,14,,,,,
8/4/2025,4,"WASHER (6mm, Light)",2,8,,,,,
8/4/2025,1,Brake Shoe (Drum),180,180,,,,,
8/4/2025,1,Throttle Cable,120,120,,,,,
